Keyword,Intent,Volume,Keyword Difficulty,CPC (USD),SERP Features
remate de autos,Commercial,8100,43,0.03,"Video, Video carousel, Related searches"
remate de autos chile,"Informational, Commercial",880,50,0.03,"Sitelinks, Video, Related searches"
remate de autos embargados,Commercial,880,54,0.04,"AI Overview, Video, People also ask, Related searches"
remates de autos en santiago,Commercial,590,55,0.03,"Video, Local pack, Related searches"
como saber si un auto es de remate,Informational,320,39,0.23,"Sitelinks, Video, Related searches"
remates de autos de aseguradora,Informational,260,48,0.05,"AI Overview, Video, Related searches"
remate de autos de carabineros,Informational,210,,0.03,"Video, Video carousel, Related searches"
remates de autos chocados,Commercial,210,16,0.05,"Video, Video carousel, Related searches, Ads top, Ads bottom"
remates judiciales de autos,"Informational, Transactional",170,46,0.02,"Sitelinks, Video, Video carousel, Related searches"
banco falabella remate de autos,"Informational, Transactional",140,26,0.07,"Sitelinks, Video, People also ask, Related searches"
remate de autos aduana iquique 2021,"Informational, Commercial",140,16,0.05,"Sitelinks, AI Overview, Video, People also ask, Related searches"
remate de autos carabineros,Informational,140,20,0.02,"Video, Related searches"
remate de autos en corrales municipales en santiago,Informational,110,10,0.02,"Sitelinks, AI Overview, Image pack, Video, Related searches"
remate de autos usados,Commercial,110,26,0.03,"Video, Video carousel, Related searches, Ads top, Ads middle"
remate de autos usados santiago,Commercial,110,41,0.05,"Video, Local pack, Related searches"
autos de remate chile,"Informational, Commercial",90,50,0.02,"Sitelinks, Video, Related searches, Ads bottom"
remates de aduana autos,Informational,90,14,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom"
remates de autos en concepcion,Commercial,90,42,0.03,"Video, Local pack, Related searches"
remates de autos online,Commercial,90,39,0.03,"Video, Related searches, Ads top, Ads bottom"
remate online de autos,Commercial,70,48,0.03,"Video, Video carousel, Related searches, Ads top, Ads bottom"
remates de autos siniestrados,Informational,50,39,0.04,"Video, Related searches"
remate de autos antiguos,,40,,0.05,
remate de autos en arica,,40,,0.03,
remates de autos macal,"Navigational, Transactional",40,28,0.03,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Ads bottom"
donde hay remates de autos,,30,,0.00,
remate autos de carabineros,,30,,0.03,
remate autos de lujo,,30,,0.00,
remate de autos americanos,,30,,0.00,
remate de autos confiscados,,30,,0.00,
remate de autos coquimbo,,30,,0.06,
remate de autos en punta arenas,,30,,0.00,
remate de autos en valdivia,,30,,0.03,
remate de autos puerto montt,,30,,0.03,
remate de autos usados chile,,30,,0.04,
remates de autos chocados de aseguradoras,,30,,0.05,
remates de autos chocados santiago,,30,,0.00,
remates de autos compañías de seguros,,30,,0.00,
remates de autos en valdivia,,30,,0.03,
remates de autos superbid,,30,,0.00,
remates fiscales de autos,,30,,0.03,
ver si un auto es de remate,Informational,30,33,0.37,"Video, Video carousel, Related searches"
casas de remates de autos,,20,,0.03,
como funcionan los remates de autos,,20,,0.00,
dicrep remate de autos,,20,,0.04,
fechas de remates de autos,,20,,0.00,
pagina de remates de autos,,20,,0.03,
proximos remates de autos,,20,,0.00,
registro de autos rematados,,20,,0.00,
remate de autos antofagasta,,20,,0.04,
remate de autos banco santander,,20,,0.00,
remate de autos baratos,,20,,0.03,
remate de autos corrales municipales,,20,,0.03,
